,レース,芝ダ,距離,天候,馬場,着順,馬番,性齢,斤量,騎手,単勝,人気,馬体重,増減
65,5,芝,2000m,晴,良,3,2,牡3,56,"
吉田隼人
",40.3,8,440,+4
66,5,芝,2000m,晴,良,4,6,牡3,56,"
岩田康誠
",12.1,4,490,-2
67,5,芝,2000m,晴,良,5,16,牡3,56,"
石橋脩
",16.8,5,472,+48
68,5,芝,2000m,晴,良,6,13,牡3,56,"
田辺裕信
",91.3,12,488,-6
69,5,芝,2000m,晴,良,7,5,牡3,56,"
蛯名正義
",50.4,9,506,+8
70,5,芝,2000m,晴,良,8,11,牡3,56,"
松岡正海
",84.6,11,422,0
71,5,芝,2000m,晴,良,9,1,牝3,54,"
柴田大知
",70.6,10,438,0
72,5,芝,2000m,晴,良,10,14,牡3,56,"
三浦皇成
",9.8,3,454,+2
73,5,芝,2000m,晴,良,11,4,牡3,56,"
岩部純二
",175.7,14,488,+8
74,5,芝,2000m,晴,良,12,10,牡3,56,"
勝浦正樹
",17.2,6,460,+4
75,5,芝,2000m,晴,良,13,7,牡3,56,"
内田博幸
",18.5,7,508,+2
76,5,芝,2000m,晴,良,14,12,牡3,56,"
宮崎北斗
",142.6,13,546,+4
77,5,芝,2000m,晴,良,15,15,牝3,54,"
丸田恭介
",363.4,16,398,-8
78,5,芝,2000m,晴,良,16,8,牡3,56,"
柴山雄一
",217.2,15,484,+6
79,6,ダート,1800m,晴,良,1,3,牡3,56,"
田辺裕信
",3.5,2,476,-4
80,6,ダート,1800m,晴,良,2,10,牝3,54,"
岩田康誠
",25.7,8,440,-10
81,6,ダート,1800m,晴,良,3,14,牡3,53,"
武藤雅
",10.3,5,484,+2
82,6,ダート,1800m,晴,良,4,11,牡3,56,"
石橋脩
",9.1,4,452,-2
83,6,ダート,1800m,晴,良,5,7,牡3,56,"
三浦皇成
",11.0,6,472,-4
84,6,ダート,1800m,晴,良,6,16,牡3,56,"
内田博幸
",3.2,1,494,0
85,6,ダート,1800m,晴,良,7,2,牡3,56,"
木幡初広
",106.7,13,506,-6
86,6,ダート,1800m,晴,良,8,6,牡3,56,"
福永祐一
",12.2,7,532,-8
87,6,ダート,1800m,晴,良,9,4,牡3,56,"
北村宏司
",117.9,14,468,-4
88,6,ダート,1800m,晴,良,10,5,牡3,56,"
丸田恭介
",94.3,12,476,-2
89,6,ダート,1800m,晴,良,11,9,牡3,56,"
柴山雄一
",51.2,11,526,-2
90,6,ダート,1800m,晴,良,12,12,牡3,56,"
川田将雅
",42.4,10,526,-2
91,6,ダート,1800m,晴,良,13,13,牡3,56,"
吉田隼人
",36.2,9,492,+10
92,6,ダート,1800m,晴,良,14,8,牡3,56,"
松岡正海
",187.7,15,500,0
93,6,ダート,1800m,晴,良,15,1,牝3,54,"
大庭和弥
",304.7,16,434,-4
94,6,ダート,1800m,晴,良,16,15,牡3,56,"
戸崎圭太
",7.6,3,472,-2
95,7,芝,2000m,晴,良,1,9,牡4,53,"
武藤雅
",11.7,4,486,+2
96,7,芝,2000m,晴,良,2,14,セ5,54,"
菊沢一樹
",52.1,9,478,0
97,7,芝,2000m,晴,良,3,6,牝5,55,"
黛弘人
",126.8,12,456,+4
98,7,芝,2000m,晴,良,4,12,牝4,54,"
柴田大知
",12.5,6,480,+6
99,7,芝,2000m,晴,良,5,3,牡4,56,"
福永祐一
",12.5,5,424,+2
100,7,芝,2000m,晴,良,6,4,牡5,57,"
柴山雄一
",10.3,3,478,+6
101,7,芝,2000m,晴,良,7,1,牡5,57,"
戸崎圭太
",1.8,1,470,-4
102,7,芝,2000m,晴,良,8,16,牡4,56,"
松岡正海
",38.6,7,504,-4
103,7,芝,2000m,晴,良,9,2,牡7,57,"
内田博幸
",41.2,8,528,+6
104,7,芝,2000m,晴,良,10,13,牡4,56,"
田辺裕信
",4.0,2,514,-2
