,距離,馬場,着順,馬番,斤量,単勝,人気,増減,前着順,前距離,前馬番,前人気,複勝
13235,2000,1,9,10,53,41.1,8,-4,10,1600,14,17,0
13236,2000,1,10,5,56,203.9,14,-6,8,1600,14,13,0
13237,2000,1,11,9,54,120.8,12,28,7,2200,4,7,0
13238,2000,1,12,12,51,314.6,16,12,10,2000,14,17,0
13239,2000,1,12,17,56,227,15,-8,11,2000,12,12,0
13240,2000,1,14,13,56,49.1,10,-10,8,1800,4,8,0
13241,2000,1,15,7,55,95.1,11,2,8,2400,14,10,0
13242,2000,1,16,11,54,333.5,17,0,15,1400,12,16,0
13243,2000,1,17,14,56,396.2,18,-6,13,1400,14,15,0
13244,2000,1,18,15,54,138.2,13,-2,14,1800,15,8,0
13245,1600,1,1,10,52,3.1,1,2,6,1600,3,5,140
13246,1600,1,2,3,52,7.9,4,2,8,1800,8,1,220
13247,1600,1,3,1,55,4,2,2,2,1600,7,5,160
13248,1600,1,4,12,52,34.5,9,-4,7,1800,13,4,0
13249,1600,1,5,2,55,23.9,6,2,5,1800,5,8,0
13250,1600,1,6,5,52,4,3,2,3,1600,5,2,0
13251,1600,1,7,4,53,54.5,10,14,5,1800,5,9,0
13252,1600,1,8,8,54,73.4,11,4,14,1600,1,7,0
13253,1600,1,9,13,55,30.2,8,0,6,1800,6,5,0
13254,1600,1,10,6,52,29.2,7,-4,1,1800,8,5,0
13255,1600,1,11,14,55,155.1,14,-24,12,1800,3,15,0
13256,1600,1,12,7,52,9.3,5,12,3,1600,8,5,0
13257,1600,1,13,9,55,110.8,13,2,14,1400,15,4,0
13258,1600,1,14,15,52,97.2,12,4,15,1200,11,11,0
13259,1600,1,15,11,52,339.4,16,4,11,1400,2,6,0
13260,1600,1,16,16,55,182.1,15,4,16,1400,7,7,0
13261,2200,1,1,8,52,2.5,2,8,3,2000,6,1,110
13262,2200,1,3,7,54,5.7,3,0,4,2000,7,9,240
13263,2200,1,4,4,54,2,1,2,3,2200,6,7,0
13264,2200,1,5,2,54,117.3,8,6,15,1800,11,11,0
13265,2200,1,6,3,55,52.8,6,-6,8,1200,12,6,0
13266,2200,1,7,1,57,111.1,7,-4,11,1400,3,13,0
13267,2200,1,8,6,57,34.2,5,-6,6,2000,3,6,0
13268,1400,1,1,1,55,2.2,1,4,2,1600,1,7,110
13269,1400,1,2,5,57,11.6,5,-2,5,1400,4,5,150
13270,1400,1,3,4,57,2.4,2,2,2,1400,7,4,110
13271,1400,1,5,7,55,63.1,8,-2,8,1200,3,8,0
13272,1400,1,6,3,57,47.2,7,2,7,1200,4,10,0
13273,1400,1,7,6,55,42.8,6,0,7,1400,6,12,0
13274,1400,1,8,2,55,7.2,3,0,1,1400,7,8,0
13275,1600,1,1,4,54,6.2,4,-2,4,1600,8,7,140
13276,1600,1,2,7,54,3.4,1,0,5,1600,8,1,110
13277,1600,1,3,3,54,3.5,2,-4,4,1600,16,7,120
13278,1600,1,4,1,54,99.2,7,2,9,1600,2,9,0
13279,1600,1,5,5,54,16.7,6,2,6,1800,1,7,0
13280,1600,1,6,8,51,8.5,5,-6,6,1600,6,4,0
13281,1600,1,7,2,54,4,3,-2,5,1200,3,2,0
13282,1600,1,8,6,54,141.3,8,-6,10,1200,15,15,0
13283,2000,1,1,5,54,1.8,1,0,5,2000,5,1,110
13284,2000,1,2,3,54,8.5,4,0,5,2000,3,4,150
